T	des_TPD_HH	des_rate_HH	des_TPD_full	des_pre_full	des_rate_full	des_TPD_Tait	des_pre_Tait	des_rate_Tait
124.0	2.0786446784752054e-17	8.314578713900822e-19	1.7105775930588882e-14	2283830328866103.0	6.8423103722357e-16	1.7029860644708494e-14	2273694709586293.5	6.811944257883543e-16
125.0	3.5533705206222736e-17	1.4213482082489095e-18	3.003899288868984e-14	2346098208886338.5	1.2015597155476403e-15	2.99419774435088e-14	2338521131884556.5	1.197679097740398e-15
126.0	6.023389053610303e-17	2.4093556214441212e-18	5.2294820212036655e-14	2409456410039403.5	2.09179280848161e-15	5.219065670854539e-14	2404657131254973.0	2.087626268341958e-15
127.0	1.0126693278824519e-16	4.050677311529808e-18	9.027147467824635e-14	2473911708313082.5	3.610858987130291e-15	9.020603995905593e-14	2472118453926661.0	3.608241598362672e-15
128.0	1.68890090053768e-16	6.755603602150722e-18	1.5454183773292762e-13	2539470779694955.5	6.18167350931841e-15	1.5463008667407262e-13	2540920908738741.5	6.185203466964208e-15
129.0	2.794675039336563e-16	1.1178700157346258e-17	2.624386387915877e-13	2606140200374003.0	1.049754555166735e-14	2.62936114167838e-13	2611080366893352.0	1.0517444566717364e-14
130.0	4.58909962965659e-16	1.8356398518626375e-17	4.421561073666209e-13	2673926446948466.0	1.768624429467595e-14	4.4359246218011515e-13	2682612761711544.5	1.7743698487215754e-14
131.0	7.479432961652433e-16	2.991773184660977e-17	7.392088941045926e-13	2742835896638540.0	2.956835576421536e-14	7.426311244665098e-13	2755534088392044.0	2.9705244978692234e-14
132.0	1.2101203852366107e-15	4.8404815409464524e-17	1.2265285692976059e-12	2812874827503109.0	4.9061142771993025e-14	1.2339349758525797e-12	2829860403772797.5	4.935739903419275e-14
133.0	1.9439213187535895e-15	7.775685275014384e-17	2.0201334763172587e-12	2884049418659305.5	8.08053390529357e-14	2.0352340707368916e-12	2905607826095242.5	8.140936282972383e-14
134.0	3.1009042046277507e-15	1.2403616818511067e-16	3.303278550475661e-12	2956365750504086.0	1.3213114201969456e-13	3.3328063684097823e-12	2982792534771266.5	1.3331225473706902e-13
135.0	4.912752534132026e-15	1.965101013652827e-16	5.363419997359471e-12	3029829804936988.0	2.1453679989617233e-13	5.4193601853189955e-12	3061430770152824.0	2.167744074145843e-13
