T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
118.0	2.848077161478793e-14	1.1392308645915614e-15	3.104551855788438e-10	2.1253937673261428e+16	1.2418207428327698e-11	3.5031848831837467e-09	2.3983002032497312e+17	1.401273959546033e-10
119.0	4.825698562791883e-14	1.930279425116883e-15	5.301840728605046e-10	2.1421936250620496e+16	2.1207362929839998e-11	6.113625543674013e-09	2.4701929822215338e+17	2.4454502369830585e-10
120.0	8.10530405007821e-14	3.2421216200316594e-15	8.973906564939132e-10	2.158760527181374e+16	3.589562630488742e-11	1.0573723493551282e-08	2.543612085887175e+17	4.2294894570272103e-10
121.0	1.349809698313361e-13	5.399238793254506e-15	1.5057704427399342e-09	2.1750961522742004e+16	6.023081783937501e-11	1.812782136268243e-08	2.6185767938827846e+17	7.251128723935419e-10
122.0	2.2292577696583807e-13	8.917031078636482e-15	2.50524680031899e-09	2.191202244799872e+16	1.0020987237957204e-10	3.081370787713865e-08	2.695106466345063e+17	1.2325483678320386e-09
123.0	3.651909739949614e-13	1.4607638959806558e-14	4.133766983655851e-09	2.2070806097080748e+16	1.653506803657349e-10	5.1941223613949825e-08	2.7732205435779392e+17	2.0776490974903595e-09
124.0	5.935215326392135e-13	2.374086130559038e-14	6.765993215398682e-09	2.222733107306488e+16	2.706397314033893e-10	8.684335764915829e-08	2.8529385457233248e+17	3.4737347420923213e-09
125.0	9.571756413884952e-13	3.828702565559775e-14	1.0987296510519393e-08	2.23816164836815e+16	4.394918679209019e-10	1.4404589108631599e-07	2.934280072435901e+17	5.761836867226184e-09
126.0	1.5320218165849077e-12	6.12808726635477e-14	1.7705364068151062e-08	2.2533681894712692e+16	7.08214582593406e-10	2.370751239234565e-07	3.017264802561839e+17	9.483008337050787e-09
127.0	2.434071770183299e-12	9.736287080772166e-14	2.8317316530664513e-08	2.2683547285643e+16	1.132692713056458e-09	3.8723127700518673e-07	3.101912493821391e+17	1.5489260273299794e-08
128.0	3.839472064768676e-12	1.5357888259173555e-13	4.495816851541149e-08	2.283123300749024e+16	1.7983268738282893e-09	6.278129405810953e-07	3.18824298249526e+17	2.511254225225021e-08
129.0	6.0138368923736666e-12	2.405534756974186e-13	7.08676678339222e-08	2.2976759742743908e+16	2.8347070507822584e-09	1.0105067426209577e-06	3.276276183114693e+17	4.042033472329858e-08
130.0	9.355001795903014e-12	3.7420007184221626e-13	1.1092825365288438e-07	2.312014846734089e+16	4.437130988732152e-09	1.6149859711549158e-06	3.366032088155194e+17	6.459960803676441e-08
131.0	1.445493632354261e-11	5.781974529565322e-13	1.7244874867800283e-07	2.326142041460665e+16	6.897952022227684e-09	2.563233450977949e-06	3.4575307677338323e+17	1.0252977215539195e-07
