T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
135.0	1.3828657813964347e-07	5.531464915095474e-09	5.3830580063561194e-05	926562132365853.9	2.1534807895075357e-06	0.0001778134122766047	3061430770152824.0	7.1152620225237314e-06
136.0	1.9409050945450836e-07	7.763623963431133e-09	7.674686582982011e-05	941250431411977.6	3.0704071794094195e-06	0.00025605282736427013	3141538833304084.0	1.0247860788441394e-05
137.0	2.7109219899894556e-07	1.0843695072247432e-08	0.00010886594611470971	955998308070261.2	4.355727611416909e-06	0.00036683174118284657	3223133085776173.0	1.46852663424953e-05
138.0	3.768458808907601e-07	1.5073849208845937e-08	0.00015366188018843836	970804184644763.6	6.148682939065313e-06	0.0005228885379745955	3306229949384370.0	2.094032968125824e-05
139.0	5.21421376423294e-07	2.085688225075598e-08	0.00021583553912362708	985666494791318.0	8.637850359356112e-06	0.0007416208429236493	3390845905987744.5	2.9715547482171993e-05
140.0	7.181831517828694e-07	2.872737850599565e-08	0.00030171659086434746	1000583683664859.5	1.2077462731037442e-05	0.001046651513744561	3476997497271232.5	4.1968811179684616e-05
141.0	9.847924542425835e-07	3.93917983601548e-08	0.00041978561054530734	1015554208053357.4	1.6808741992004787e-05	0.0014698559578939542	3564701324530009.0	5.900043972781661e-05
142.0	1.344491159224288e-06	5.377983611642866e-08	0.0005813475111255647	1030576536499197.1	2.3287668898176156e-05	0.0020539491731605786	3653974048456227.5	8.256789747225455e-05
143.0	1.8277399715964507e-06	7.310995510804663e-08	0.0008013932534578826	1045649149408623.8	3.2120980851794036e-05	0.0028557242197760732	3744832388928018.0	0.00011503637671007026
144.0	2.4743006390103987e-06	9.897268872274945e-08	0.0010996921000145001	1060770539149860.1	4.4112646217263234e-05	0.003949998369952719	3837293124800689.0	0.00015957565543056178
145.0	3.335872418067588e-06	1.3343612096689305e-07	0.0015021600884289601	1075939210140652.0	6.032362559858488e-05	0.005434232379474568	3931373093700170.5	0.00022041642906732382
146.0	4.479417839767384e-06	1.7917895523247858e-07	0.002042549297649685	1091153678925677.1	8.214841983262259e-05	0.00743359722406881	4027089191818568.0	0.000303182787193317
147.0	5.991342601998674e-06	2.396577758772524e-07	0.0027644922823522686	1106412474244567.9	0.0001114127466276983	0.010105898293767169	4124458373711878.0	0.00041532181393796874
