T	33_TPD_HH	33_rate_HH	33_TPD_full	33_pre_full	33_rate_full	33_TPD_Tait	33_pre_Tait	33_rate_Tait
180.0	0.0	77313.76536680115	0.0	214092440926301.38	9734631.729177404	0.0	1.2800154155084638e+16	582013947.9812019
181.0	0.0	85366.42415894837	0.0	214289792468038.78	10758455.849708587	0.0	1.305077926179843e+16	655216615.1978161
182.0	0.0	94159.92492848463	0.0	214475179864676.9	11876938.618477408	0.0	1.330489005382085e+16	736781582.8130993
183.0	0.0	103753.09307243883	0.0	214648767504442.72	13097572.754178897	0.0	1.3562515457835596e+16	827566051.2935439
184.0	0.0	114208.64271587374	0.0	214810718720647.5	14428337.28848041	0.0	1.382368448010505e+16	928504794.5296798
185.0	0.0	125593.37737327516	0.0	214961195763367.22	15877721.365056831	0.0	1.4088426206252536e+16	1040616214.3854389
186.0	0.0	137978.3975659037	0.0	215100359772808.94	17454748.732583698	0.0	1.435676980104637e+16	1165008788.2395437
187.0	0.0	151439.31547084256	0.0	215228370754300.25	19169002.92855591	0.0	1.4628744508185662e+16	1302887929.3921077
188.0	0.0	166056.47667169373	0.0	215345387554857.53	21030653.149687294	0.0	1.4904379650087842e+16	1455563280.8824682
189.0	0.0	181915.18907471144	0.0	215451567841262.0	23050480.803495172	0.0	1.5183704627677914e+16	1624456463.9422517
190.0	0.0	199105.95904803975	0.0	215547068079596.5	25239906.73454629	0.0	1.5466748920179364e+16	1811109302.993691
191.0	0.0	217724.7348352438	0.0	215632043516189.06	27611019.117681313	0.0	1.5753542084906724e+16	2017192549.793279
192.0	0.0	237873.1572879031	0.0	215706648159909.5	30176602.009400316	0.0	1.6044113757059864e+16	2244515130.0177855
193.0	0.0	259658.8179553	0.0	215771034765781.12	32950164.54743717	0.0	1.6338493649519748e+16	2495033936.2895346
194.0	0.0	283195.5245625077	0.0	215825354819831.97	35945970.78740922	0.0	1.6636711552645916e+16	2770864192.342854
195.0	0.0	308603.5739012366	0.0	215869758525178.56	39179070.16429434	0.0	1.6938797334075508e+16	3074290413.740839
196.0	0.0	336010.0321509204	0.0	215904394789251.25	42665328.56536144	0.0	1.7244780938523828e+16	3407777991.263152
